OriginalTime	Time	ProcessingTime	TimeStamp	MessageType	Address	Destination	Source	SendCounter	ReceiveCounter	Data...
2026-05-07 14:31:45.985	2026-05-07 14:31:45.985	2026-05-07 14:31:45.985	142837	FullCornerState	1	255	1	229	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:31:48.528	2026-05-07 14:31:48.528	2026-05-07 14:31:48.528	145387	FullCornerState	1	255	1	230	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:31:51.086	2026-05-07 14:31:51.086	2026-05-07 14:31:51.086	147937	FullCornerState	1	255	1	231	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:31:53.629	2026-05-07 14:31:53.629	2026-05-07 14:31:53.629	150487	FullCornerState	1	255	1	232	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:31:56.187	2026-05-07 14:31:56.187	2026-05-07 14:31:56.187	153037	FullCornerState	1	255	1	233	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:31:58.730	2026-05-07 14:31:58.730	2026-05-07 14:31:58.730	155586	FullCornerState	1	255	1	234	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:32:01.289	2026-05-07 14:32:01.289	2026-05-07 14:32:01.289	158137	FullCornerState	1	255	1	235	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:32:03.831	2026-05-07 14:32:03.831	2026-05-07 14:32:03.831	160687	FullCornerState	1	255	1	236	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:32:06.359	2026-05-07 14:32:06.359	2026-05-07 14:32:06.359	163236	FullCornerState	1	255	1	237	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:32:08.933	2026-05-07 14:32:08.933	2026-05-07 14:32:08.933	165787	FullCornerState	1	255	1	238	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:32:11.460	2026-05-07 14:32:11.460	2026-05-07 14:32:11.460	168337	FullCornerState	1	255	1	239	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:32:14.018	2026-05-07 14:32:14.018	2026-05-07 14:32:14.018	170886	FullCornerState	1	255	1	240	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:32:16.561	2026-05-07 14:32:16.561	2026-05-07 14:32:16.561	173437	FullCornerState	1	255	1	241	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:32:19.119	2026-05-07 14:32:19.119	2026-05-07 14:32:19.119	175987	FullCornerState	1	255	1	242	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:32:21.662	2026-05-07 14:32:21.662	2026-05-07 14:32:21.662	178537	FullCornerState	1	255	1	243	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:32:23.207	2026-05-07 14:32:23.207	2026-05-07 14:32:23.207	180074	State	1	255	1	244	0	0	1	0	26	215	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0
2026-05-07 14:32:24.221	2026-05-07 14:32:24.221	2026-05-07 14:32:24.221	181087	FullCornerState	1	255	1	245	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:32:26.763	2026-05-07 14:32:26.763	2026-05-07 14:32:26.763	183637	FullCornerState	1	255	1	246	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:32:29.322	2026-05-07 14:32:29.322	2026-05-07 14:32:29.322	186187	FullCornerState	1	255	1	247	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:32:31.865	2026-05-07 14:32:31.865	2026-05-07 14:32:31.865	188737	FullCornerState	1	255	1	248	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:32:34.423	2026-05-07 14:32:34.423	2026-05-07 14:32:34.423	191286	FullCornerState	1	255	1	249	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:32:36.966	2026-05-07 14:32:36.966	2026-05-07 14:32:36.966	193837	FullCornerState	1	255	1	250	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:32:39.524	2026-05-07 14:32:39.524	2026-05-07 14:32:39.524	196387	FullCornerState	1	255	1	251	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
